w_lya,w_SiIV,CIV,CIII,MgII
3570.6349723387198,4106.477028151079,4552.70356220944,5608.25687991844,8224.41309023136
3909.2642062437603,4495.92405392214,4984.46948939352,6140.12859055302,9004.39388514288
2756.41560975768,3170.06848059102,3514.54104457336,4329.39433100686,6348.9829676318395
3839.30167038288,4415.46230172132,4895.26443519376,6030.24116825476,8843.24585398944
4410.90467649,5072.8452691725,5624.08131573,6928.035682792501,10159.84620162
2984.97318643212,3432.92549215743,3805.9611705612406,4688.380789093991,6875.43048748056
3361.04548014144,3865.4346248481597,4285.46850874688,5279.06285121488,7741.65566009472
4479.25222401384,5151.4496731542595,5711.22719468168,7035.38650599218,10317.274353445919
2611.48500579408,3003.38826811812,3329.74868073616,4101.75749243716,6015.157425215039
3361.80888904848,3866.3125978597195,4286.44188588496,5280.26190776596,7743.41405608224
3663.60549278412,4213.399552985429,4671.24472446524,5754.28204489799,8438.556504856559
3671.6783831442003,4222.68393491505,4681.5379851834,5766.961818454651,8457.1511765796
4547.41363322688,5229.84000521232,5798.13573978176,7142.44496901776,10474.27376406144
4033.7989888638,4639.147662046949,5143.2563586326005,6335.73050921135,9291.2407637244
2445.6577278276,2812.6754361189,3118.3122149652004,3841.2990642477002,5633.1995812488
3369.6899489136,3875.3763614604,4296.4905549872,5292.6403806572,7761.5668755168
3683.65112449308,4236.453415047869,4696.80371315916,5785.76693562891,8484.728560277039
3860.36191933548,4439.68304374647,4922.11710178396,6063.31967865871,8891.75492548824
4071.12293205852,4682.07277663203,5190.84589115404,6394.3537688917895,9377.21077448376
3832.347961377,4407.46505570925,4886.398175829,6019.31924913525,8827.229045826
3503.59105651152,4029.3718907302796,4467.21986623504,5502.95362010404,8069.9876551977595
4265.33380267332,4905.42870211173,5438.47258201364,6699.39319737389,9824.54589524616
3755.91358590552,4319.560240608779,4788.94126517304,5899.266761154539,8651.174119169758
2465.97471898284,2836.0413803015094,3144.21719789468,3873.2101686614296,5679.996671767919
4153.15948858512,4776.42048718068,5295.44580854224,6523.2053838312395,9566.169470794559
3005.09163775236,3456.0631018062895,3831.61300719572,4719.98005474397,6921.770271769679
4352.02851873348,5005.13361810597,5549.01184062996,6835.56120154221,10024.23395161224
3855.8296866164396,4434.47066284191,4916.33832232188,6056.20107775863,8881.31561864472
3645.38348910684,4192.44298921251,4648.01093504268,5725.66145548443,8396.58489847992
4484.6556878089195,5157.66403001763,5718.11682889484,7043.87351551259,10329.720408198958
2814.13949031384,3236.4549332292595,3588.14131978168,4420.05897546718,6481.941122845919
3129.24505132512,3598.8481091656795,3989.91361552224,4914.98297193624,7207.7387249145595
4418.39176769952,5081.45594158728,5633.62765891104,6939.79536450504,10177.091574341759
2654.5578641977204,3052.92503257083,3384.6683119524405,4169.4103486801905,6114.36918537336
3568.8478367489997,4104.421698692249,4550.424892272999,5605.44989585425,8220.296695961999
3325.10947591836,3824.10573601779,4239.64865437772,5222.619573063471,7658.88255507768
2835.5492896848,3261.0776823972,3615.4396772496,4453.6865110596,6531.2553304224
4725.13827849648,5434.23563198172,6024.74182858096,7421.59012731196,10883.63537910624
2890.91851757124,3324.75612170661,3686.03767536148,4540.65279454573,6658.789902327119
3196.1600544931202,3675.80498811768,4075.23294265824,5020.08375367224,7361.86722929856
3172.41673790652,3648.4985328540297,4044.95925665004,4982.79105373779,7307.17812070776
3633.65004552732,4178.94871805523,4633.05032137164,5707.232193969389,8369.558700698159
3150.6942475616397,3623.5161674522096,4017.26220558228,4948.67238664653,7257.143677162319
2952.73314873732,3395.84722030773,3764.85382254164,4637.74262120189,6801.17047767816
2810.0530829716804,3231.75528232452,3582.9309856513605,4413.640615072361,6472.52870676384
2593.70421565788,2982.9391304150695,3307.0774563687596,4073.8298998985097,5974.202086939439
2786.6996700628797,3204.8972432413193,3553.1544425537595,4376.96032161476,6418.737681829439
4800.98599564272,5521.465749457079,6121.45072621744,7540.72117397644,11058.33902778336
3987.91013136828,4586.37230399067,5084.7462150295605,6263.65467318931,9185.54277913464
3550.13922424044,4082.9055011279097,4526.5706569698805,5576.06500895663,8177.20426035672
4633.2187936070395,5328.521870686559,5907.54077903808,7277.21578282608,10671.912864587519
3560.67006874644,4095.0167002244093,4539.997908331879,5592.60539508113,8201.46045458472
2900.3043021872404,3335.55042278061,3698.00492919348,4555.39467982773,6680.40862573512
2556.2019189798,2939.80889699595,3259.2605159646,4014.92650736835,5887.8212661324
4317.79779031848,4965.76591432722,5505.36628167496,6781.79633349346,9945.38868934224
2814.5305107972003,3236.9046338133,3588.6398866644004,4420.6731360669,6482.8417788936
2948.25623617356,3390.69846140559,3759.1455785081203,4630.71090950887,6790.85859237528
3014.30890746804,3466.66359909681,3843.36539773508,4734.45726025433,6943.00084680552
3613.6412732628,4155.9372469017,4607.5383299556,5675.8051969281,8323.4715453864
3833.43707283264,4408.71760916496,4887.78683684928,6021.02987395728,8829.737647960319
3640.2570769422,4186.5472608745495,4641.4745528294,5717.60960013815,8384.7769899036
4315.620077808,4963.261394411999,5502.589610416,6778.375885516,9940.372660703999
4423.57201864188,5087.41358824107,5640.23268773676,6947.93178231651,10189.02349233144
3218.32050396636,3701.29103678979,4103.48840927372,5054.89030605947,7412.9104449016795
3153.2878249220403,3626.49896069031,4020.56912129308,4952.74601729983,7263.11758705752
2438.3910386206803,2804.31824124177,3109.0468932243602,3829.8855593516105,5616.46187092584
2452.56133370352,2820.61506006828,3127.11459081904,3852.14228833804,5649.10098449376
3536.56131733944,4067.2899696576596,4509.2582781928795,5554.7387209483795,8145.92962261872
2733.5645867868,3143.7882246627,3485.4050689036003,4293.5031218011,6296.3491212984
4399.546526972999,5059.78261212825,5609.599217121,6910.19588100225,10133.684436473999
2884.83011291592,3317.7540355093797,3678.2747139338403,4531.08997517034,6644.76619076496
3191.76181413648,3670.74670769172,4069.6250088609604,5013.17560934196,7351.73655342624
4170.4336354434,4796.28695009385,5317.4710423018,6550.33721156305,9605.957833549199
4395.72825990636,5055.39134107479,5604.73077265372,6904.19867806447,10124.889640621679
3789.65103989784,4358.36064470526,4831.95787934968,5952.25686233518,8728.883199037919
4027.75758969168,4632.1996354045195,5135.55333109136,6326.241519512359,9277.32532212384
3125.2588526733603,3594.26370518154,3984.83105151272,4908.72200541722,7198.55712426768
2908.5005357616,3344.9766579324,3708.4554574832005,4568.2681837532,6699.2873997408005
3676.8891317496004,4228.6766559893995,4688.1818997592,5775.1461377542,8469.1533412848
4260.21320786256,4899.53966413284,5431.9436171611205,6691.35047911812,9812.75138605728
3550.79257615212,4083.6569009874297,4527.40370700124,5577.09120328399,8178.709156840559
4513.71877339656,5191.088587346339,5755.173434879121,7089.52176882362,10396.66279334928
4243.960460502361,4880.84788124379,5411.22070894572,6665.8229236814705,9775.31566126968
2565.68630330844,2950.71659455491,3271.35348840588,4029.8232593676303,5909.66709894072
2683.9818225948,3086.7646185747,3422.1850453196002,4215.625410817101,6182.1427860024
4681.14137711688,5383.6361542348195,5968.644005311759,7352.485912860259,10782.295226881439
4518.2337096046795,5196.281076067769,5760.93016059236,7096.613202769609,10407.06226031784
3218.9447739696,3702.0089904444,4104.2843786992,5055.8708225692,7414.3483556448
2976.3001911161996,3422.9509480480497,3794.9027518273997,4674.758454123649,6855.453565515599
3498.6204053034,4023.6552982588496,4460.8820855218,5495.146412408049,8058.538518229199
3595.0045737964797,4134.503754306719,4583.77578668096,5646.53326103696,8280.54475050624
3735.44703759396,4296.02229535869,4762.84559083892,5867.12075315717,8604.03254655048
3865.4650389950402,4445.55198409356,4928.62378511408,6071.33494937708,8903.50918333152
3902.67371546052,4488.3445339725295,4976.06634790804,6129.77716410829,8989.21369475976
3686.01157142712,4239.168092181179,4699.81337817624,5789.47439742774,8490.16548979056
2744.1252301928403,3155.93369455401,3498.87031506468,4310.09031189393,6320.67395274792
3922.8176770988402,4511.51148225051,5001.75071122668,6161.41649781843,9035.61223817592
2965.1776960790403,3410.15930994456,3780.7211221820803,4657.2887856200805,6829.83459452352
3801.62111865588,4372.127062674569,4847.22021241476,5971.05779748201,8756.454449863439
4701.55815648948,5407.11686176497,5994.67622224196,7384.55375072921,10829.32216434024
2583.61772487312,2971.33896881268,3294.2167739182405,4057.9874428072403,5950.96939373856
3677.1342869757605,4228.95860144514,4688.49448255752,5775.53119349202,8469.71801895888
4678.10449114164,5380.14352544721,5964.77185324228,7347.71599468153,10775.30022320232
2552.70815745036,2935.79082974079,3254.80582914172,4009.43899260247,5879.77391929368
4379.37968115024,5036.589345456359,5583.885675544479,6878.52060399748,10087.233182829119
3560.1616208371197,4094.4319499836797,4539.34961674624,5591.80679581024,8200.28932237056
2858.5659267781202,3287.54840601393,3644.7868176032403,4489.83784389849,6584.27064362856
3741.28735829472,4302.73906786008,4770.29223522144,5876.29391675544,8617.48483455936
4318.83715470948,4966.96125521997,5506.69151318196,6783.42882254421,9947.78270670024
3355.70980607928,3859.2982308634196,4278.66530917656,5270.68231638006,7729.36574865264
2920.64962909356,3358.9489550355897,3723.94604134812,4587.35029009887,6727.27098333528
3634.41328065504,4179.82649120856,4634.0234769340805,5708.43097757208,8371.31669641152
2747.0086447237204,3159.24982057233,3502.5467848544404,4314.61917846969,6327.3154583613605
4381.82947131384,5039.40677347926,5587.00925678168,6882.36839371718,10092.87590084592
2867.7539699718,3298.1152907839496,3656.5019431486,4504.26914445235,6605.433899828399
3619.3551433806,4162.50859249215,4614.8237447462,5684.7797495349505,8336.6325737628
2904.60460878276,3340.4960726118898,3703.4879934965197,4562.14900342477,6690.313726124879
3761.54697189336,4326.03902388654,4796.12405945272,5908.11490048222,8664.14976462768
4630.19758544304,5325.04727246556,5903.68861681008,7272.470489173081,10664.95397235552
4009.43455339128,4611.12687713142,5112.19072100056,6297.46224210406,9235.12100250864
3096.20618290776,3560.85112676814,3947.7877261215203,4863.09011183102,7131.638730374881
2721.4912320726003,3129.90303220515,3470.0110548302005,4274.539975143951,6268.5399900588
2998.49991836148,3448.48216887297,3823.20829918596,4709.62669857321,6906.5872514762395
3558.0975308361603,4092.05810380824,4536.71781876832,5588.564810270321,8195.53500585408
